type_shoes,price,address,image_link-src
Baskets Adidas,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590329_uploaded_image1_1646243442.jpg
Tapettes Adidas,11 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3590239_uploaded_image1_1646240113.jpg
Chaussures Converse CDG,30 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3582688_uploaded_image1_1645802252.jpg
Chaussures Converse CDG,30 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3582691_uploaded_image1_1645802352.jpg
Baskets Nike TNT,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549121_uploaded_image1_1643748906.jpg
Baskets Lebron 18,45 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3582585_uploaded_image1_1645797974.jpg
Baskets Nike Dunk Low,35 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3582581_uploaded_image1_1645797898.jpg
Chaussures Vans,12 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589838_uploaded_image1_1646228032.jpg
Baskets Nike Air,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589833_uploaded_image1_1646227937.jpg
Baskets Nike Air,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589827_uploaded_image1_1646227835.jpg
Baskets Vans Off The Wall,13 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549050_uploaded_image1_1643746057.jpg
Baskets Jordan,35 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589809_uploaded_image1_1646227659.jpg
Baskets Jordan,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589800_uploaded_image1_1646227536.jpg
Baskets Jordan,30 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589793_uploaded_image1_1646227433.jpg
Baskets Adidas Beken Bower,14 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549112_uploaded_image1_1643748642.jpg
Baskets Jordan One,23 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3589720_uploaded_image1_1646226188.jpg
Baskets Adidas France,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549088_uploaded_image1_1643747690.jpg
Baskets Jordan dernière version,20 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_3549629_uploaded_image1_1643783911.jpg
