type_kids_shoes,price,address,image_link-src
Vêtement enfant,20 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4741430_uploaded_image1_1715616419.jpg
Baskets Jordan enfant,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4576638_uploaded_image1_1706968853.jpg
Baskets Yeezy,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4461944_uploaded_image1_1700231478.jpg
Chaussures enfant,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4488965_uploaded_image1_1701943601.jpg
Chaussures enfants,10 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4487812_uploaded_image1_1701872655.jpg
Chaussures enfant,10 000CFA,"Angré, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4477782_uploaded_image1_1701290456.jpg
Chaussures enfant,10 000CFA,"Angré, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4477779_uploaded_image3_1701290314.jpeg
Chaussures enfant,5 000CFA,"Angré, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4456615_uploaded_image1_1699904402.jpg
Chaussures Kito,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4412454_uploaded_image1_1697027077.jpg
Basket pour enfant,Prix sur demande,"Le plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4393920_uploaded_image1_1695897211.jpg
Sandales pour enfant,Prix sur demande,"Angré, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4393919_uploaded_image1_1695897110.jpg
Baskets enfant,Prix sur demande,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4393916_uploaded_image1_1695896997.jpg
Ballerine,Prix sur demande,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4393915_uploaded_image1_1695896890.jpg
Baskets enfant,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4359130_uploaded_image1_1693578756.jpg
Baskets enfant,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4359133_uploaded_image1_1693578853.jpg
Baskets enfant,25 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4359131_uploaded_image1_1693578813.jpg
Chaussures enfant,10 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4380469_uploaded_image1_1694969202.jpg
Chaussures enfant,15 000CFA,"Le Plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4367215_uploaded_image1_1694101294.jpg
Chaussures enfant,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4308129_uploaded_image1_1690308910.jpg
Chaussures enfant,5 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4303005_uploaded_image1_1689937181.jpg
Chaussures enfant,14 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_4290023_uploaded_image2_1689082909.jpeg
