type_clothes,price,address,image_link-src
Jeans homme Destroy,9 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2791060_uploaded_image1_1606475449.jpg
Tunique homme 3 pièces,25 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2790677_uploaded_image1_1606464173.jpg
Maillot,11 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2790217_uploaded_image1_1606430113.jpg
T-shirts,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2790006_uploaded_image1_1606422873.jpg
Pantalons,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789945_uploaded_image1_1606420417.jpg
Jeans coupé,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789941_uploaded_image1_1606420311.jpg
Complets Pantalons et T-shirts,20 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789938_uploaded_image1_1606420197.jpg
Jeans coupé,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789917_uploaded_image1_1606419482.jpg
Pantalons Jeans,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789915_uploaded_image1_1606419403.jpg
Pantalons,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789913_uploaded_image1_1606419355.jpg
Pantalons Jeans,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789910_uploaded_image1_1606419289.jpg
Pantalons Jeans,14 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789905_uploaded_image1_1606419234.jpg
Tee-shirts,7 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2789871_uploaded_image1_1606418303.jpg
Lacoste,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810377_uploaded_image1_1607153512.jpg
Polo DsQuareD2,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810374_uploaded_image1_1607153438.jpg
Polo DsQuareD2,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810372_uploaded_image1_1607153382.jpg
Polos,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810371_uploaded_image1_1607153328.jpg
Polos Homme,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810369_uploaded_image1_1607153259.jpg
Polos Homme,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810368_uploaded_image1_1607153215.jpg
Pull-over,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810127_uploaded_image1_1607131590.jpg
Pulls,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810052_uploaded_image1_1607128038.jpg
Pulls,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810051_uploaded_image1_1607127963.jpg
Pulls over Fashion,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810049_uploaded_image1_1607127882.jpg
Survêtements Adidas,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810043_uploaded_image1_1607127803.jpg
Survêtements Adidas,25 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2810040_uploaded_image1_1607127714.jpg
Vêtements de friperie,Prix sur demande,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809675_uploaded_image1_1607112012.jpg
Ensemble survêtement,20 000CFA,"Le Plateau, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809637_uploaded_image1_1607110832.jpg
Ensemble survêtement Adidas - Ensemble T-shirt Culotte,Prix sur demande,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2809582_uploaded_image1_1607108018.jpg
