type_child_clothes,price,address,image_link-src
Vêtements enfants pyjamas 6 mois à 15 ans,Prix sur demande,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_799221_uploaded_image1_1564585867.62.png
Vêtements enfants,16 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_798482_uploaded_image1_1564574372.12.png
Vêtements enfants,16 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_793900_uploaded_image2_1564445893.43.png
Robe fillette,6 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_789351_uploaded_image1_1564319376.51.png
Jupe enfant,2 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_788566_uploaded_image1_1564272992.76.png
Boubou,10 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_783261_uploaded_image1_1564132036.34.png
Kit pour enfant,18 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_779676_uploaded_image1_1564048257.25.png
Kit vêtements pour bébé,18 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_779675_uploaded_image1_1564048206.09.png
Kit pour bébé,18 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_779673_uploaded_image1_1564048175.74.png
Joli ensemble bébé,6 000CFA,"Abobo, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_772019_uploaded_image1_1563879715.99.png
Pantalon Enfant,5 000CFA,Côte d'Ivoire,https://images.coinafrique.com/thumb_758844_uploaded_image1_1563475565.85.png
Vêtements enfant,Prix sur demande,Côte d'Ivoire,https://images.coinafrique.com/thumb_752188_uploaded_image1_1563343783.03.png
Vêtements pour enfants,7 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_750914_uploaded_image1_1563292601.44.png
Robe fleurie,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_747469_uploaded_image1_1563207808.62.png
Tenue de sport d'école,Prix sur demande,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_743661_uploaded_image1_1563078479.15.png
